filename,codec,original_size,compressed_size,compression_time,decompression_time
1209.tar,zstd,26163200,3942756,192741479,209632537
0605.tar,zstd,20715520,3212948,156423761,197877438
0703.tar,zstd,11069440,4711938,343193076,100684160
1102_apollo17_earth.tiff,zstd,42363986,27921788,563221387,647710259
1105_hst_jupiter_aurorae.tiff,zstd,15612134,4858182,107547683,106843148
1106_jupiter_family.tiff,zstd,10329186,4136863,248856850,99955401
1204.tar,zstd,21872640,3355629,166297675,197409722
1103_clem_lake_victoria.tiff,zstd,9000152,6226818,157798055,139228326
1207.tar,zstd,21841920,3226735,158690686,234126496
0703_3.tar,zstd,11069440,4711938,173962466,129095020
0703_2.tar,zstd,11069440,4711938,169056732,99396171
0602.tar,zstd,65464320,8861747,449118486,533736562
0704.tar,zstd,10547200,4564610,163184157,83456787
1101_apollo16_earth_northamerica.tiff,zstd,42411890,30459562,371470943,263940746
1203.tar,zstd,21913600,3412047,282122167,192524469
0704_3.tar,zstd,10547200,4564610,319323119,92020648
1202.tar,zstd,22220800,3365024,277935848,186102613
0704_2.tar,zstd,10547200,4564610,319609171,139510892
0702.tar,zstd,11069440,4867027,173563329,162253925
1205.tar,zstd,21872640,3343759,162513517,199654956
1104_gal_moon_nims_41476.tiff,zstd,16766114,2190372,74095391,64396511
0702_2.tar,zstd,11069440,4867027,172181160,98438467
0701_2.tar,zstd,11069440,4874167,174662070,98072122
0604.tar,zstd,64440320,8667368,444116391,300683149
0701.tar,zstd,11069440,4874167,174517096,98252614
0701_3.tar,zstd,11069440,4874167,174584794,97016853
1201.tar,zstd,20008960,2877662,145437399,171983336
1208.tar,zstd,22702080,3482750,167224450,203798555
0702_3.tar,lz4,11069440,6678088,145914462,31500053
0603.tar,lz4,66406400,14738100,366010831,145575741
1206.tar,lz4,21841920,4851625,135338929,55836223
1209.tar,lz4,26163200,6000433,155657840,64646153
0605.tar,lz4,20715520,5105783,125204019,56485093
0703.tar,lz4,11069440,6470116,150590140,42278711
1102_apollo17_earth.tiff,lz4,42363986,33212945,376892986,119932312
1105_hst_jupiter_aurorae.tiff,lz4,15612134,5509931,81361548,26703324
1106_jupiter_family.tiff,lz4,10329186,6042740,161264020,45349859
1204.tar,lz4,21872640,5056347,194445758,57203823
1103_clem_lake_victoria.tiff,lz4,9000152,7013352,98028530,25585607
1207.tar,lz4,21841920,4882988,125701874,56381617
0703_3.tar,lz4,11069440,6470116,138664438,41774275
0703_2.tar,lz4,11069440,6470116,214468789,41317149
0602.tar,lz4,65464320,14758653,520488245,151949115
0704.tar,lz4,10547200,6284868,134849522,57075792
1101_apollo16_earth_northamerica.tiff,lz4,42411890,31772437,133865416,91152785
1203.tar,lz4,21913600,5055558,130910720,56675984
0704_3.tar,lz4,10547200,6284868,133095468,38941901
1202.tar,lz4,22220800,4971711,194593728,54684582
0704_2.tar,lz4,10547200,6284868,205034506,40147664
0702.tar,lz4,11069440,6678088,148193320,49262551
1205.tar,lz4,21872640,5048171,142022830,57660930
1104_gal_moon_nims_41476.tiff,lz4,16766114,2431368,53621257,20283002
0702_2.tar,lz4,11069440,6678088,137441561,41536546
0701_2.tar,lz4,11069440,6695860,139874029,40490071
0604.tar,lz4,64440320,14506666,340426275,141228295
0701.tar,lz4,11069440,6695860,141336401,40982335
